id,date,index_name,tenor,spread_bps,series_number,bloomberg_ticker
4,2015-09-21,US_IG,5Y,81.25,25,CDXIG525 Curncy
8,2015-09-22,US_IG,5Y,83.15,25,CDXIG525 Curncy
12,2015-09-23,US_IG,5Y,84.308,25,CDXIG525 Curncy
16,2015-09-24,US_IG,5Y,86.078,25,CDXIG525 Curncy
20,2015-09-25,US_IG,5Y,88.375,25,CDXIG525 Curncy
24,2015-09-28,US_IG,5Y,92.524,25,CDXIG525 Curncy
28,2015-09-29,US_IG,5Y,92.826,25,CDXIG525 Curncy
32,2015-09-30,US_IG,5Y,93.6,25,CDXIG525 Curncy
36,2015-10-01,US_IG,5Y,94.35,25,CDXIG525 Curncy
40,2015-10-02,US_IG,5Y,92.501,25,CDXIG525 Curncy
44,2015-10-05,US_IG,5Y,87.25,25,CDXIG525 Curncy
48,2015-10-06,US_IG,5Y,88.133,25,CDXIG525 Curncy
52,2015-10-07,US_IG,5Y,83.85,25,CDXIG525 Curncy
56,2015-10-08,US_IG,5Y,81.85,25,CDXIG525 Curncy
60,2015-10-09,US_IG,5Y,81.6,25,CDXIG525 Curncy
67,2015-10-13,US_IG,5Y,83.967,25,CDXIG525 Curncy
71,2015-10-14,US_IG,5Y,85.65,25,CDXIG525 Curncy
75,2015-10-15,US_IG,5Y,82.832,25,CDXIG525 Curncy
79,2015-10-16,US_IG,5Y,81.333,25,CDXIG525 Curncy
83,2015-10-19,US_IG,5Y,80.05,25,CDXIG525 Curncy
87,2015-10-20,US_IG,5Y,81.209,25,CDXIG525 Curncy
91,2015-10-21,US_IG,5Y,82.363,25,CDXIG525 Curncy
95,2015-10-22,US_IG,5Y,80.085,25,CDXIG525 Curncy
99,2015-10-23,US_IG,5Y,77.268,25,CDXIG525 Curncy
103,2015-10-26,US_IG,5Y,77.816,25,CDXIG525 Curncy
107,2015-10-27,US_IG,5Y,78.277,25,CDXIG525 Curncy
111,2015-10-28,US_IG,5Y,77.316,25,CDXIG525 Curncy
115,2015-10-29,US_IG,5Y,78.547,25,CDXIG525 Curncy
119,2015-10-30,US_IG,5Y,78.887,25,CDXIG525 Curncy
123,2015-11-02,US_IG,5Y,76.566,25,CDXIG525 Curncy
127,2015-11-03,US_IG,5Y,75.581,25,CDXIG525 Curncy
131,2015-11-04,US_IG,5Y,77.599,25,CDXIG525 Curncy
135,2015-11-05,US_IG,5Y,78.26,25,CDXIG525 Curncy
139,2015-11-06,US_IG,5Y,79.388,25,CDXIG525 Curncy
143,2015-11-09,US_IG,5Y,81.052,25,CDXIG525 Curncy
147,2015-11-10,US_IG,5Y,81.05,25,CDXIG525 Curncy
154,2015-11-12,US_IG,5Y,83.378,25,CDXIG525 Curncy
158,2015-11-13,US_IG,5Y,85.655,25,CDXIG525 Curncy
162,2015-11-16,US_IG,5Y,83.016,25,CDXIG525 Curncy
166,2015-11-17,US_IG,5Y,83.393,25,CDXIG525 Curncy
170,2015-11-18,US_IG,5Y,81.889,25,CDXIG525 Curncy
174,2015-11-19,US_IG,5Y,84.893,25,CDXIG525 Curncy
178,2015-11-20,US_IG,5Y,84.557,25,CDXIG525 Curncy
182,2015-11-23,US_IG,5Y,84.942,25,CDXIG525 Curncy
186,2015-11-24,US_IG,5Y,85.253,25,CDXIG525 Curncy
190,2015-11-25,US_IG,5Y,84.535,25,CDXIG525 Curncy
197,2015-11-27,US_IG,5Y,84.537,25,CDXIG525 Curncy
201,2015-11-30,US_IG,5Y,83.969,25,CDXIG525 Curncy
205,2015-12-01,US_IG,5Y,80.55,25,CDXIG525 Curncy
209,2015-12-02,US_IG,5Y,82.208,25,CDXIG525 Curncy
213,2015-12-03,US_IG,5Y,83.482,25,CDXIG525 Curncy
217,2015-12-04,US_IG,5Y,81.965,25,CDXIG525 Curncy
221,2015-12-07,US_IG,5Y,83.474,25,CDXIG525 Curncy
225,2015-12-08,US_IG,5Y,86.021,25,CDXIG525 Curncy
229,2015-12-09,US_IG,5Y,85.98,25,CDXIG525 Curncy
233,2015-12-10,US_IG,5Y,87.844,25,CDXIG525 Curncy
237,2015-12-11,US_IG,5Y,96.325,25,CDXIG525 Curncy
241,2015-12-14,US_IG,5Y,92.708,25,CDXIG525 Curncy
245,2015-12-15,US_IG,5Y,90.545,25,CDXIG525 Curncy
249,2015-12-16,US_IG,5Y,89.463,25,CDXIG525 Curncy
253,2015-12-17,US_IG,5Y,94.419,25,CDXIG525 Curncy
257,2015-12-18,US_IG,5Y,95.251,25,CDXIG525 Curncy
261,2015-12-21,US_IG,5Y,95.088,25,CDXIG525 Curncy
265,2015-12-22,US_IG,5Y,92.396,25,CDXIG525 Curncy
269,2015-12-23,US_IG,5Y,89.959,25,CDXIG525 Curncy
273,2015-12-24,US_IG,5Y,89.705,25,CDXIG525 Curncy
274,2015-12-28,US_IG,5Y,90.538,25,CDXIG525 Curncy
277,2015-12-29,US_IG,5Y,88.422,25,CDXIG525 Curncy
279,2015-12-31,US_IG,5Y,88.244,25,CDXIG525 Curncy
289,2016-01-07,US_IG,5Y,96.07,25,CDXIG525 Curncy
294,2016-01-11,US_IG,5Y,98.352,25,CDXIG525 Curncy
300,2016-01-15,US_IG,5Y,109.992,25,CDXIG525 Curncy
301,2016-01-19,US_IG,5Y,110.452,25,CDXIG525 Curncy
305,2016-01-20,US_IG,5Y,110.868,25,CDXIG525 Curncy
309,2016-01-21,US_IG,5Y,108.587,25,CDXIG525 Curncy
313,2016-01-22,US_IG,5Y,104.094,25,CDXIG525 Curncy
317,2016-01-25,US_IG,5Y,106.757,25,CDXIG525 Curncy
321,2016-01-26,US_IG,5Y,104.573,25,CDXIG525 Curncy
325,2016-01-27,US_IG,5Y,104.729,25,CDXIG525 Curncy
329,2016-01-28,US_IG,5Y,103.437,25,CDXIG525 Curncy
333,2016-01-29,US_IG,5Y,101.98,25,CDXIG525 Curncy
337,2016-02-01,US_IG,5Y,104.02,25,CDXIG525 Curncy
341,2016-02-02,US_IG,5Y,108.652,25,CDXIG525 Curncy
345,2016-02-03,US_IG,5Y,107.695,25,CDXIG525 Curncy
349,2016-02-04,US_IG,5Y,109.574,25,CDXIG525 Curncy
353,2016-02-05,US_IG,5Y,114.8,25,CDXIG525 Curncy
357,2016-02-08,US_IG,5Y,120.244,25,CDXIG525 Curncy
361,2016-02-09,US_IG,5Y,119.554,25,CDXIG525 Curncy
365,2016-02-10,US_IG,5Y,121.563,25,CDXIG525 Curncy
369,2016-02-11,US_IG,5Y,124.6,25,CDXIG525 Curncy
373,2016-02-12,US_IG,5Y,121.962,25,CDXIG525 Curncy
380,2016-02-16,US_IG,5Y,121.253,25,CDXIG525 Curncy
