Date,CUSIP,asset_type,coupon_rate,spread,closing_price,credit_rating,current_yield,ytm,duration,maturity_date,next_call_date
1/31/2007,74815HBZ4,Credit,6.35,NULL,NULL,NULL,NULL,NULL,9.273,1/30/2026,NULL
1/31/2007,149123BN0,Credit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1/31/2007,912828GD6,Government,2.375,NULL,NULL,NULL,NULL,NULL,8.721,1/15/2017,NULL
1/31/2007,912810FD5,Government,3.625,NULL,NULL,NULL,NULL,NULL,15.132,4/15/2028,NULL
1/31/2007,912810FD5,Government,3.625,NULL,NULL,NULL,NULL,NULL,15.132,4/15/2028,NULL
1/31/2007,912810FS2,Government,2,NULL,NULL,NULL,NULL,NULL,15.39,1/15/2026,NULL
1/31/2007,31379AAH8,Securitized,6.5,NULL,NULL,NULL,NULL,NULL,3.111,3/1/2018,NULL
1/31/2007,863579HB7,Securitized,5.2058,NULL,NULL,NULL,NULL,NULL,1.77,7/25/2009,NULL
2/28/2007,74815HBZ4,Credit,6.35,NULL,NULL,NULL,NULL,NULL,9.73,1/30/2026,NULL
2/28/2007,912810FD5,Government,3.625,NULL,NULL,NULL,NULL,NULL,15.112,4/15/2028,NULL
2/28/2007,912810FD5,Government,3.625,NULL,NULL,NULL,NULL,NULL,15.112,4/15/2028,NULL
2/28/2007,912810FS2,Government,2,NULL,NULL,NULL,NULL,NULL,15.336,1/15/2026,NULL
2/28/2007,912828GD6,Government,2.375,NULL,NULL,NULL,NULL,NULL,8.642,1/15/2017,NULL
2/28/2007,31379AAH8,Securitized,6.5,NULL,NULL,NULL,NULL,NULL,3.111,3/1/2018,NULL
2/28/2007,863579HB7,Securitized,5.1971,NULL,NULL,NULL,NULL,NULL,1.77,7/25/2009,NULL
10/31/2007,74815HBZ4,Credit,6.35,NULL,NULL,NULL,NULL,NULL,8.59,1/30/2026,NULL
10/31/2007,912810FD5,Government,3.625,NULL,NULL,NULL,NULL,NULL,14.936,4/15/2028,NULL
10/31/2007,912810FD5,Government,3.625,NULL,NULL,NULL,NULL,NULL,14.936,4/15/2028,NULL
10/31/2007,912810FS2,Government,2,NULL,NULL,NULL,NULL,NULL,14.876,1/15/2026,NULL
10/31/2007,912828GD6,Government,2.375,NULL,NULL,NULL,NULL,NULL,8.11,1/15/2017,NULL
10/31/2007,31379AAH8,Securitized,6.5,NULL,NULL,NULL,NULL,NULL,2.922,3/1/2018,NULL
10/31/2007,863579HB7,Securitized,5.1983,NULL,NULL,NULL,NULL,NULL,1.8,5/15/2009,NULL
4/30/2008,74815HBZ4,Credit,6.35,115.914,NULL,NULL,NULL,NULL,8.166,1/30/2026,NULL
4/30/2008,912810FS2,Government,2,0,NULL,NULL,NULL,NULL,14.448,1/15/2026,NULL
4/30/2008,912810FD5,Government,3.625,0,NULL,NULL,NULL,NULL,14.568,4/15/2028,NULL
4/30/2008,912810FD5,Government,3.625,0,NULL,NULL,NULL,NULL,14.568,4/15/2028,NULL
4/30/2008,912828GD6,Government,2.375,0,NULL,NULL,NULL,NULL,7.688,1/15/2017,NULL
4/30/2008,83162CRK1,Government,5.51,202,NULL,NULL,NULL,NULL,5.943,11/1/2015,NULL
4/30/2008,83162CRL9,Government,5.29,202,NULL,NULL,NULL,NULL,5.946,12/1/2016,NULL
4/30/2008,863579HB7,Securitized,5.1908,566,NULL,NULL,NULL,NULL,1.053,5/15/2009,NULL
4/30/2008,31379AAH8,Securitized,6.5,201,NULL,NULL,NULL,NULL,2.855,3/1/2018,NULL
12/31/2008,74815HBZ4,Credit,6.35,206.953,NULL,NULL,NULL,NULL,10.8388,1/30/2026,NULL
12/31/2008,59562VAM9,Credit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12/31/2008,912810FS2,Government,2,0,NULL,NULL,NULL,NULL,13.9135,1/15/2026,NULL
12/31/2008,912810FD5,Government,3.625,0,NULL,NULL,NULL,NULL,7.0498,4/15/2028,NULL
12/31/2008,912810FD5,Government,3.625,0,NULL,NULL,NULL,NULL,7.0498,4/15/2028,NULL
12/31/2008,912828GD6,Government,2.375,0,NULL,NULL,NULL,NULL,7.0838,1/15/2017,NULL
12/31/2008,83162CRK1,Government,5.51,314,NULL,NULL,NULL,NULL,5.9816,11/3/2016,NULL
12/31/2008,912810EV6,Government,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12/31/2008,83162CRL9,Government,5.29,314,NULL,NULL,NULL,NULL,5.9889,10/31/2016,NULL
12/31/2008,863579HB7,Securitized,5.1907,7000,NULL,NULL,NULL,NULL,0.5587,9/26/2009,NULL
12/31/2008,576433VK9,Securitized,5.7371,2799.4585,NULL,NULL,NULL,NULL,2.3915,11/12/2013,NULL
12/31/2008,31379AAH8,Securitized,6.5,292.1,NULL,NULL,NULL,NULL,2.6029,2/19/2012,NULL
6/3/2009,002824AV2,Credit,6,NULL,102.9472,NULL,NULL,5.66,14.0464,4/1/2039,NULL
6/3/2009,74815HBZ4,Credit,6.35,NULL,100.6754,NULL,NULL,5.9111,1.5423,1/30/2026,NULL
6/3/2009,912810FS2,Government,2,NULL,95.125,NULL,NULL,2.459,13.8882,1/15/2026,NULL
6/3/2009,83162CSG9,Government,5.72,NULL,104.652633,NULL,NULL,4.7674,6.1092,2/1/2017,NULL
6/3/2009,912833LU2,Government,0,NULL,46.8936,NULL,NULL,4.8325,15.3384,2/15/2025,NULL
6/3/2009,912810FD5,Government,3.625,NULL,118.375,NULL,NULL,2.5111,14.0877,4/15/2028,NULL
6/3/2009,912810FD5,Government,3.625,NULL,118.375,NULL,NULL,2.5111,14.0877,4/15/2028,NULL
6/3/2009,83162CRK1,Government,5.51,NULL,103.898818,NULL,NULL,4.6885,5.908,11/3/2016,NULL
6/3/2009,912828GD6,Government,2.375,NULL,105.25,NULL,NULL,1.8988,6.9237,1/15/2017,NULL
6/3/2009,83162CSM6,Government,3.31,NULL,98.267,NULL,NULL,3.4952,3.8272,5/1/2019,NULL
6/3/2009,912810EV6,Government,6.875,NULL,129.0625,NULL,NULL,4.3651,10.4074,8/15/2025,NULL
6/3/2009,83162CRL9,Government,5.29,NULL,102.627613,NULL,NULL,4.6398,5.9187,10/31/2016,NULL
6/3/2009,83162CQA4,Government,5.21,NULL,103.246,NULL,NULL,4.5405,5.6381,7/1/2016,NULL
6/3/2009,31411FWL4,Securitized,5.631,NULL,104.005229,NULL,NULL,3.874,0.82,11/11/2011,NULL
6/3/2009,31402C4H2,Securitized,5.5,NULL,103.802083,NULL,NULL,4.0557,2.7812,4/1/2034,NULL
6/3/2009,863579HB7,Securitized,5.1822,NULL,56,NULL,NULL,17.2492,0.3367,9/25/2009,NULL
6/3/2009,576433VK9,Securitized,5.3717,NULL,50,NULL,NULL,33.5445,2.1764,11/25/2013,NULL
6/3/2009,31379AAH8,Securitized,6.5,NULL,107.71684,NULL,NULL,0.1237,2.4028,2/19/2012,NULL
6/3/2009,125879TG1,Securitized,0,NULL,0.01,NULL,NULL,37.165,0,6/26/2036,NULL
6/3/2009,05949ARU6,Securitized,4.6666,NULL,73,NULL,NULL,23.4561,2.7281,6/25/2013,NULL
6/3/2009,31393CVK6,Securitized,6,NULL,13.93452,NULL,NULL,42.1916,2.2843,3/11/2012,NULL
6/10/2009,74815HBZ4,Credit,6.35,NULL,97.6567,NULL,NULL,5.9111,1.4806,1/30/2026,NULL
6/10/2009,002824AV2,Credit,6,NULL,100.1194,NULL,NULL,5.66,13.7961,4/1/2039,NULL
6/10/2009,83162CRK1,Government,5.51,NULL,102.143254,NULL,NULL,4.6885,5.8208,11/3/2016,NULL
6/10/2009,912828GD6,Government,2.375,NULL,103.7812,NULL,NULL,1.8988,6.8952,1/15/2017,NULL
6/10/2009,912810FS2,Government,2,NULL,93.5312,NULL,NULL,2.459,13.8437,1/15/2026,NULL
6/10/2009,912810FD5,Government,3.625,NULL,116.2812,NULL,NULL,2.5111,14.0202,4/15/2028,NULL
6/10/2009,912810FD5,Government,3.625,NULL,116.2812,NULL,NULL,2.5111,14.0202,4/15/2028,NULL
6/10/2009,83162CSG9,Government,5.72,NULL,102.852861,NULL,NULL,4.7674,6.017,2/1/2017,NULL
6/10/2009,912833LU2,Government,0,NULL,45.1906,NULL,NULL,4.8325,15.3384,2/15/2025,NULL
6/10/2009,83162CRL9,Government,5.29,NULL,101.128424,NULL,NULL,4.6398,5.8405,10/31/2016,NULL
6/10/2009,83162CSM6,Government,3.31,NULL,96.88493,NULL,NULL,3.4952,3.7451,5/1/2019,NULL
6/10/2009,912810EV6,Government,6.875,NULL,124.9844,NULL,NULL,4.3651,10.2779,8/15/2025,NULL
6/10/2009,83162CQA4,Government,5.21,NULL,101.244548,NULL,NULL,4.5405,5.5048,7/1/2016,NULL
6/10/2009,31411FWL4,Securitized,5.631,NULL,103.838913,NULL,NULL,3.874,1.24,11/11/2011,NULL
6/10/2009,31402C4H2,Securitized,5.5,NULL,102.323242,NULL,NULL,4.0557,2.9313,4/1/2034,NULL
6/10/2009,863579HB7,Securitized,5.1822,NULL,56,NULL,NULL,17.2492,0.3224,9/25/2009,NULL
6/10/2009,31393CVK6,Securitized,6,NULL,13.95837,NULL,NULL,42.1916,2.2521,3/11/2012,NULL
6/10/2009,576433VK9,Securitized,5.3717,NULL,50,NULL,NULL,33.5445,2.1525,11/25/2013,NULL
6/10/2009,31379AAH8,Securitized,6.5,NULL,107.58177,NULL,NULL,0.1237,2.384,2/19/2012,NULL
6/10/2009,05949ARU6,Securitized,4.6666,NULL,73,NULL,NULL,23.4561,2.7061,6/25/2013,NULL
6/10/2009,125879TG1,Securitized,0,NULL,0.01,NULL,NULL,37.165,0,6/26/2036,NULL
6/17/2009,002824AV2,Credit,6,NULL,104.8495,NULL,NULL,5.66,14.1467,4/1/2039,NULL
6/17/2009,74815HBZ4,Credit,6.35,NULL,104.5962,NULL,NULL,5.9111,2.5284,1/30/2026,NULL
6/17/2009,912810FS2,Government,2,NULL,93.7812,NULL,NULL,2.459,13.8334,1/15/2026,NULL
6/17/2009,83162CSG9,Government,5.72,NULL,105.930814,NULL,NULL,4.7674,6.1237,2/1/2017,NULL
6/17/2009,912810FD5,Government,3.625,NULL,116.625,NULL,NULL,2.5111,14.0081,4/15/2028,NULL
6/17/2009,912810FD5,Government,3.625,NULL,116.625,NULL,NULL,2.5111,14.0081,4/15/2028,NULL
6/17/2009,912833LU2,Government,0,NULL,47.335,NULL,NULL,4.8325,15.3384,2/15/2025,NULL
6/17/2009,912828GD6,Government,2.375,NULL,103.3438,NULL,NULL,1.8988,6.8727,1/15/2017,NULL
6/17/2009,83162CRK1,Government,5.51,NULL,105.060594,NULL,NULL,4.6885,5.9317,11/3/2016,NULL
6/17/2009,912810EV6,Government,6.875,NULL,128.875,NULL,NULL,4.3651,10.3658,8/15/2025,NULL
6/17/2009,83162CRL9,Government,5.29,NULL,104.040338,NULL,NULL,4.6398,5.9367,10/31/2016,NULL
6/17/2009,83162CSM6,Government,3.31,NULL,98.463353,NULL,NULL,3.4952,3.7642,5/1/2019,NULL
6/17/2009,83162CQA4,Government,5.21,NULL,103.991955,NULL,NULL,4.5405,5.5846,7/1/2016,NULL
6/17/2009,31411FWL4,Securitized,5.631,NULL,104.381209,NULL,NULL,3.874,0.87,11/11/2011,NULL
6/17/2009,863579HB7,Securitized,5.1822,NULL,61,NULL,NULL,17.2492,0.3082,9/25/2009,NULL
6/17/2009,31402C4H2,Securitized,5.5,NULL,103.841797,NULL,NULL,4.0557,3.3059,4/1/2034,NULL
6/17/2009,05949ARU6,Securitized,4.6666,NULL,73,NULL,NULL,23.4561,2.667,6/25/2013,NULL
6/17/2009,576433VK9,Securitized,5.3717,NULL,50,NULL,NULL,33.5445,2.1195,11/25/2013,NULL
6/17/2009,125879TG1,Securitized,0,NULL,0.01,NULL,NULL,37.165,0,6/26/2036,NULL
6/17/2009,31379AAH8,Securitized,6.5,NULL,107.466005,NULL,NULL,0.1237,2.5133,2/19/2012,NULL
6/17/2009,31393CVK6,Securitized,6,NULL,14.21746,NULL,NULL,42.1916,2.2524,3/11/2012,NULL
7/1/2009,74815HBZ4,Credit,6.35,137.3632,113.4758,Aa2,5.6,5.1196,7.1711,1/30/2026,NULL
7/1/2009,59562VAM9,Credit,6.125,161.3844,104.1009,Baa1,5.88,5.8191,13.5523,4/1/2036,NULL
7/1/2009,002824AV2,Credit,6,113.4503,108.7936,Aa2,5.52,5.4001,14.6318,4/1/2039,NULL
7/1/2009,912828GD6,Government,2.375,NULL,104,TSY,0,1.8597,6.8472,1/15/2017,NULL
7/1/2009,83162CRK1,Government,5.51,120,107.194341,AGC,5.14,4.3202,5.9517,11/3/2016,NULL
7/1/2009,912810FS2,Government,2,NULL,97.2812,TSY,0,2.4518,13.8947,1/15/2026,NULL
7/1/2009,912810FD5,Government,3.625,NULL,120.7812,TSY,0,2.5036,14.0981,4/15/2028,NULL
7/1/2009,912810FD5,Government,3.625,NULL,120.7812,TSY,0,2.5036,14.0981,4/15/2028,NULL
7/1/2009,83162CSG9,Government,5.72,126,108.035993,AGC,5.29,4.4546,6.1499,2/1/2017,NULL
7/1/2009,912833LU2,Government,0,NULL,48.6245,TSY,0,4.8575,15.2514,2/15/2025,NULL
7/1/2009,912810EV6,Government,6.875,NULL,130.8281,TSY,0,4.4103,10.3809,8/15/2025,NULL
7/1/2009,83162CRL9,Government,5.29,112,106.347517,AGC,4.97,4.2496,5.9633,10/31/2016,NULL
7/1/2009,83162CSM6,Government,3.31,NULL,99.87589,AGC,0,3.5156,3.812,11/1/2013,NULL
7/1/2009,83162CQA4,Government,5.21,112,106.065172,AGC,4.91,4.1521,5.588,7/1/2016,NULL
7/1/2009,31411FWL4,Securitized,5.631,NULL,104.696397,AGC,0,3.8767,0.6616,11/11/2011,NULL
7/1/2009,863579HB7,Securitized,5.1312,7000,61,Aaa,8.41,17.0688,0.1137,10/25/2009,3/25/2015
7/1/2009,31402C4H2,Securitized,5.5,NULL,103.764648,AGC,0,4.1521,3.1334,4/25/2013,NULL
7/1/2009,31393CVK6,Securitized,6,NULL,14.37991,AGC,0,42.0532,2.2916,3/11/2012,NULL
7/1/2009,576433VK9,Securitized,5.2014,775.3128,65,A2,8,20.7905,4.703,11/25/2013,1/25/2024
7/1/2009,05949ARU6,Securitized,4.317,456.9283,90,Aa2,4.8,10.4868,3.0962,6/25/2013,2/25/2014
7/1/2009,125879TG1,Securitized,0,NULL,0.01,NR,0,37.1609,0,6/26/2036,NULL
7/1/2009,31379AAH8,Securitized,6.5,NULL,107.568433,AGC,0,0.2774,2.4485,2/19/2012,NULL
7/8/2009,002824AV2,Credit,6,NULL,107.8795,Aa2,0,5.65,14.3175,4/1/2039,NULL
7/8/2009,74815HBZ4,Credit,6.35,NULL,107.9291,Aa2,0,5.948,5.3022,1/30/2026,NULL
7/8/2009,59562VAM9,Credit,6.125,NULL,100.2112,Baa1,0,6.2979,13.1004,4/1/2036,NULL
7/8/2009,912833LU2,Government,0,NULL,50.5368,TSY,0,4.8575,15.2536,2/15/2025,NULL
7/8/2009,83162CSG9,Government,5.72,NULL,109.043904,AGC,0,4.7968,6.2551,2/1/2017,NULL
7/8/2009,912810FD5,Government,3.625,NULL,120.6562,TSY,0,2.5036,14.0873,4/15/2028,NULL
7/8/2009,912810FD5,Government,3.625,NULL,120.6562,TSY,0,2.5036,14.0873,4/15/2028,NULL
7/8/2009,912810FS2,Government,2,NULL,97.1562,TSY,0,2.4518,13.8886,1/15/2026,NULL
7/8/2009,912828GD6,Government,2.375,NULL,104.4375,TSY,0,1.8597,6.8352,1/15/2017,NULL
7/8/2009,83162CRK1,Government,5.51,NULL,108.114816,AGC,0,4.7182,6.0551,11/3/2016,NULL
7/8/2009,912810EV6,Government,6.875,NULL,134.1562,TSY,0,4.4103,10.4484,8/15/2025,NULL
7/8/2009,83162CRL9,Government,5.29,NULL,107.246566,AGC,0,4.6695,6.0669,10/31/2016,NULL
7/8/2009,83162CSM6,Government,3.31,NULL,100.784001,AGC,0,3.5156,3.8193,11/1/2013,NULL
7/8/2009,83162CQA4,Government,5.21,NULL,106.913733,AGC,0,4.569,5.692,7/1/2016,NULL
7/8/2009,31411FWL4,Securitized,5.624,NULL,104.74381,AGC,0,3.8767,0.2722,11/11/2011,NULL
7/8/2009,863579HB7,Securitized,5.1493,NULL,61,Aaa,0,17.2415,0.2745,9/25/2009,11/25/2015
7/8/2009,576433VK9,Securitized,5.3718,NULL,50,Baa2,0,33.5126,1.7784,11/25/2013,2/25/2017
7/8/2009,05949ARU6,Securitized,4.6676,NULL,73,Aa2,0,23.4253,2.9806,6/25/2013,6/25/2015
7/8/2009,31379AAH8,Securitized,6.5,NULL,107.978633,AGC,0,0.2774,2.45,2/19/2012,NULL
7/8/2009,125879TG1,Securitized,0,NULL,0.01,NR,0,37.1609,0,6/26/2036,NULL
7/8/2009,31393CVK6,Securitized,6,NULL,14.00717,AGC,0,42.0532,2.2227,3/11/2012,NULL
7/15/2009,74815HBZ4,Credit,6.35,NULL,104.3411,Aa2,0,5.948,2.3041,1/30/2026,NULL
7/15/2009,59562VAM9,Credit,6.125,NULL,96.6893,Baa1,0,6.2979,12.8365,4/1/2036,NULL
7/15/2009,002824AV2,Credit,6,NULL,103.8165,Aa2,0,5.65,14.0069,4/1/2039,NULL
7/15/2009,912828GD6,Government,2.375,NULL,103.5,TSY,0,1.8597,6.8829,1/15/2017,NULL
7/15/2009,83162CRK1,Government,5.51,NULL,105.687688,AGC,0,4.7182,5.945,11/3/2016,NULL
7/15/2009,912810FS2,Government,2,NULL,94.5938,TSY,0,2.4518,13.9541,1/15/2026,NULL
7/15/2009,83162CSG9,Government,5.72,NULL,106.506499,AGC,0,4.7968,6.1369,2/1/2017,NULL
7/15/2009,912833LU2,Government,0,NULL,47.6487,TSY,0,4.8575,15.2055,2/15/2025,NULL
7/15/2009,912810FD5,Government,3.625,NULL,117.8125,TSY,0,2.5036,13.974,4/15/2028,NULL
7/15/2009,912810FD5,Government,3.625,NULL,117.8125,TSY,0,2.5036,13.974,4/15/2028,NULL
7/15/2009,912810EV6,Government,6.875,NULL,129.1875,TSY,0,4.4103,10.3009,8/15/2025,NULL
7/15/2009,83162CRL9,Government,5.29,NULL,104.83851,AGC,0,4.6695,5.9567,10/31/2016,NULL
7/15/2009,83162CSM6,Government,3.31,NULL,99.497912,AGC,0,3.5156,3.7699,11/1/2013,NULL
7/15/2009,83162CQA4,Government,5.21,NULL,104.675208,AGC,0,4.569,5.5959,7/1/2016,NULL
7/15/2009,31411FWL4,Securitized,5.624,NULL,104.696438,AGC,0,3.8767,0.5685,11/11/2011,NULL
7/15/2009,863579HB7,Securitized,5.1493,NULL,61,Aaa,0,17.2415,0.2602,9/25/2009,11/25/2015
7/15/2009,31402C4H2,Securitized,5.5,NULL,103.792339,AGC,0,4.1521,3.1782,4/25/2013,NULL
7/15/2009,31393CVK6,Securitized,6,NULL,14.16127,AGC,0,42.0532,2.244,3/11/2012,NULL
7/15/2009,576433VK9,Securitized,5.3718,NULL,50,Baa2,0,33.5126,1.7584,11/25/2013,2/25/2017
7/15/2009,05949ARU6,Securitized,4.6676,NULL,73,Aa2,0,23.4253,2.7792,6/25/2013,6/25/2015
7/15/2009,125879TG1,Securitized,0,NULL,0.01,NR,0,37.1609,0,6/26/2036,NULL
7/15/2009,31379AAH8,Securitized,6.5,NULL,108.053163,AGC,0,0.2774,2.45,2/19/2012,NULL
7/22/2009,002824AV2,Credit,6,NULL,106.043,Aa2,0,5.65,14.1668,4/1/2039,NULL
7/22/2009,59562VAM9,Credit,6.125,NULL,99.3395,Baa1,0,6.2979,13.0236,4/1/2036,NULL
7/22/2009,74815HBZ4,Credit,6.35,NULL,104.4365,Aa2,0,5.948,2.3698,1/30/2026,NULL
7/22/2009,912810FS2,Government,2,NULL,95.4062,TSY,0,2.4518,13.9677,1/15/2026,NULL
7/22/2009,83162CSG9,Government,5.72,NULL,107.261096,AGC,0,4.7968,6.1485,2/1/2017,NULL
7/22/2009,912833LU2,Government,0,NULL,47.8525,TSY,0,4.8575,15.1883,2/15/2025,NULL
7/22/2009,912810FD5,Government,3.625,NULL,118.9688,TSY,0,2.5036,13.9976,4/15/2028,NULL
7/22/2009,912810FD5,Government,3.625,NULL,118.9688,TSY,0,2.5036,13.9976,4/15/2028,NULL
7/22/2009,912828GD6,Government,2.375,NULL,104.5312,TSY,0,1.8597,6.8752,1/15/2017,NULL
7/22/2009,83162CRK1,Government,5.51,NULL,106.431553,AGC,0,4.7182,5.9548,11/3/2016,NULL
7/22/2009,83162CQD8,Government,NULL,NULL,105.125,AGC,0,NULL,5.5,9/1/2016,NULL
7/22/2009,912810EV6,Government,6.875,NULL,129.6094,TSY,0,4.4103,10.2939,8/15/2025,NULL
7/22/2009,83162CRL9,Government,5.29,NULL,105.580241,AGC,0,4.6695,5.9666,10/31/2016,NULL
7/22/2009,83162CSM6,Government,3.31,NULL,100.052675,AGC,0,3.5156,3.7639,11/1/2013,NULL
7/22/2009,83162CQA4,Government,5.21,NULL,105.380716,AGC,0,4.569,5.602,7/1/2016,NULL
7/22/2009,31411FWL4,Securitized,5.624,NULL,104.74568,AGC,0,3.8767,0.4,11/11/2011,NULL
7/22/2009,863579HB7,Securitized,5.1493,NULL,61,Aaa,0,17.2415,0.2459,9/25/2009,11/25/2015
7/22/2009,31402C4H2,Securitized,5.5,NULL,104.112399,AGC,0,4.1521,3.204,4/25/2013,NULL
7/22/2009,576433VK9,Securitized,5.3718,NULL,50,Baa2,0,33.5126,1.7337,11/25/2013,2/25/2017
7/22/2009,05949ARU6,Securitized,4.6676,NULL,73,Aa2,0,23.4253,2.9474,6/25/2013,6/25/2015
7/22/2009,125879TG1,Securitized,0,NULL,0.01,NR,0,37.1609,0,6/26/2036,NULL
7/22/2009,31379AAH8,Securitized,6.5,NULL,108.278083,AGC,0,0.2774,2.45,2/19/2012,NULL
7/22/2009,31393CVK6,Securitized,6,NULL,14.21216,AGC,0,42.0532,2.2476,3/11/2012,NULL
7/29/2009,74815HBZ4,Credit,6.35,NULL,106.7786,Aa2,0,5.948,4.4723,1/30/2026,NULL
7/29/2009,59562VAM9,Credit,6.125,NULL,102.1802,Baa1,0,6.2979,13.2047,4/1/2036,NULL
7/29/2009,002824AV2,Credit,6,NULL,106.1935,Aa2,0,5.65,14.1497,4/1/2039,NULL
7/29/2009,912828GD6,Government,2.375,NULL,103.4688,TSY,0,1.8597,6.8503,1/15/2017,NULL
7/29/2009,83162CRK1,Government,5.51,NULL,105.369611,AGC,0,4.7182,5.9616,11/3/2016,NULL
7/29/2009,83162CSG9,Government,5.72,NULL,106.171847,AGC,0,4.7968,6.1532,2/1/2017,NULL
7/29/2009,912833LU2,Government,0,NULL,47.4408,TSY,0,4.8575,15.1648,2/15/2025,NULL
7/29/2009,912810FS2,Government,2,NULL,95.3438,TSY,0,2.4518,13.9629,1/15/2026,NULL
7/29/2009,912810FD5,Government,3.625,NULL,118.4688,TSY,0,2.5036,13.9766,4/15/2028,NULL
7/29/2009,912810FD5,Government,3.625,NULL,118.4688,TSY,0,2.5036,13.9766,4/15/2028,NULL
