,68389XAM7,134429AZ2,126408GS6,45687AAG7,58013MEN0,96332HCG2,718546AH7,50247VAB5,50076QAE6,418056AS6,00185AAB0,887317AP0,444454AF9,64110LAN6,219350AX3,88579YAH,12527GAF0,10948WAA1,100743AJ2,205887BN1,85172FAN9,63938CAJ7,28370TAD1,04650NAB0,92553PAP7
2017-04-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,
2017-05-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,
2017-06-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,,,,,,,,,,,,,,
2017-07-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05,,,,,,,,,,,,,,
2017-08-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05,,0.05,,,,,,,,,,,,
2017-09-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05,,0.05,0.05,0.05,,,,,,,,,,
2017-10-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,,0.05,0.05,,,,,,,,,
2017-11-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,,,,,,,,,
2017-12-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,,,,,,,,,
2018-01-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,,0.05,0.05,0.05,0.05,0.05,,,,,,,,
2018-02-01,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,
2018-03-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,
2018-04-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,0.05,0.05,0.05,0.05,0.05,,,0.05,,,,,,,
2018-05-01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,0.05,,0.05,0.05,0.05,0.05,,,,,,,,,
2018-06-01,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,,,0.05,0.05,0.05,0.05,0.05,,,,0.05,,,,,,
2018-07-01,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,,,0.05,,0.05,0.05,0.05,,0.05,,0.05,0.05,,,,,
2018-08-01,0.05,,0.05,0.05,0.05,,0.05,0.05,,,0.05,,0.05,0.05,0.05,0.05,0.05,,0.05,,0.05,,,,
2018-09-01,0.05,,0.05,0.05,0.05,,0.05,0.05,,,0.05,,0.05,0.05,0.05,0.05,0.05,,,0.05,0.05,0.05,,,
2018-10-01,0.05,,0.05,0.05,0.05,,0.05,0.05,,,0.05,,0.05,0.05,0.05,,0.05,,,,0.05,0.05,0.05,,
2018-11-01,0.05,,0.05,0.05,0.049999999999999996,,0.05,0.05,,,0.05,,0.05,0.05,0.05,,0.05,0.05,,0.05,0.049999999999999996,0.05,,,
2018-12-01,0.05,,0.05,0.05,0.05,0.05,0.05,,,0.05,0.05,,0.05,0.05,0.05,0.05,,0.05,,0.05,0.05,,,,
2019-01-01,0.05,,0.05,0.05,0.05,,0.05,0.05,,,0.05,,0.05,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,,,0.05,
2019-02-01,0.05,,0.05,0.05,0.05,,0.05,,,,0.05,,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,
2019-03-01,0.05,,0.05,0.05,0.05,,0.05,,,,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05,,0.05,
2019-04-01,0.05,,0.05,0.05,0.05,,0.05,,,,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,,,0.05,0.05,,0.05,
2019-05-01,0.05,,0.05,0.05,0.05,,0.05,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,0.05,0.05,,0.05,
2019-06-01,0.05,,0.05,0.05,0.05,,0.049999999999999996,,,,0.05,0.049999999999999996,0.05,0.05,0.05,0.05,,0.05,,,0.05,0.05,,0.05,
2019-07-01,0.04999999999999999,,0.05,0.049999999999999996,0.049999999999999996,,0.049999999999999975,0.049999999999999996,,,0.05,,0.05,,0.05,0.04999999999999999,,0.05,,0.05,0.05,0.05,,0.05,0.049999999999999996
2019-08-01,0.05,,0.05,0.05,0.05,,0.05,,,0.05,0.05,,0.05,,0.05,0.05,,,,0.05,0.05,0.05,,0.05,0.05
2019-09-01,0.05,,0.05,0.05,0.05,,0.05,,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,,0.05,0.05,,0.05,
2019-10-01,,0.05,0.05,0.05,0.05,,0.05,,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,,0.05,0.05
2019-11-01,0.05,0.05,0.05,0.05,0.05,,0.05,,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05,,0.05,,0.05,0.05
